category;name;rus;eng
char_name;flinss;Флинс;Flinss

feature_attack;normal_hit_1;Урон атаки 1;1-Hit DMG
feature_attack;normal_hit_2;Урон атаки 2;2-Hit DMG
feature_attack;normal_hit_3;Урон атаки 3;3-Hit DMG
feature_attack;normal_hit_4;Урон атаки 4;4-Hit DMG
feature_attack;normal_hit_5;Урон атаки 5;5-Hit DMG
feature_attack;charged_hit;Урон заряженной атаки;Charged Attack DMG
feature_attack;plunge;Урон в падении;Plunge DMG
feature_attack;plunge_low;Урон низкого удара;Low Plunge DMG
feature_attack;plunge_high;Урон высокого удара;High Plunge DMG
feature_skill;flinss_storm_dmg;Урон Шторма северных копий;Northern Spear Storm DMG
feature_skill;flinss_flame_duration;Длительность Явления пламени;Flame Manifestation Duration
feature_burst;flinss_initial_dmg;Исходный урон навыка;Initial Skill DMG
feature_burst;flinss_lunar_mid_dmg;Урон промежуточного этапа Лунного заряда;Lunar Charge Mid-Stage DMG
feature_burst;flinss_lunar_final_dmg;Урон финального этапа Лунного заряда;Lunar Charge Final DMG
feature_burst;flinss_symphony_dmg;Урон Громогласной симфонии;Thunderous Symphony DMG
feature_burst;flinss_symphony_extra;Дополнительный урон Громогласной симфонии;Thunderous Symphony Extra DMG
feature_other;flinss_lunar_bonus;Базовый урон Лунного заряда;Lunar-Charged Base Bonus

talent_name;flinss_demon_spear;Демоническое копьё;Demonic Spear
talent_descr;flinss_demon_spear;<p>name{Обычная атака:}<br>До пяти последовательных ударов копьём.</p><p>name{Заряженная атака:}<br>Тратит определённое количество выносливости и бросает копьё вперёд.</p><p>name{Атака в падении:}<br>Стремительно падает на землю, атакуя всех врагов на пути. Приземлившись, наносит урон по площади.</p>;<p>name{Normal Attack:}<br>Performs up to 5 consecutive spear strikes.</p><p>name{Charged Attack:}<br>Consumes Stamina to throw the spear forward.</p><p>name{Plunging Attack:}<br>Plunges from mid-air to strike the ground, damaging opponents along the path and dealing AoE DMG upon impact.</p>
talent_name;flinss_ancient_rite;Древний обряд: Тайный свет;Ancient Rite: Secret Light
talent_descr;flinss_ancient_rite;name{Флинс} призывает древнюю силу, заключённую в его фонаре, и переходит в режим Явления пламени. У этого режима следующие особенности:<br>· Обычная и заряженная атаки name{Флинса} наносят electro{Электро} урон, который не может быть отменён другими инфузиями. Он не может выполнять атаки в падении.<br>· Сопротивление прерыванию name{Флинса} повышается.<br>· Элементальный навык заменяется на особый элементальный навык Шторм северных копий.<p>name{Шторм северных копий}<br>name{Флинс} призывает град копий перед собой, нанося electro{Электро} урон по площади и на последующие 6 сек. заменяя взрыв стихии на особый взрыв стихии Громогласная симфония.</p>;name{Flinss} summons the ancient power contained in his lantern and enters Flame Manifestation mode. This mode has the following features:<br>· name{Flinss}'s Normal and Charged Attacks deal electro{Electro} DMG that cannot be overridden by other infusions. He cannot perform Plunging Attacks.<br>· name{Flinss}'s resistance to interruption is increased.<br>· Elemental Skill is replaced with Northern Spear Storm.<p>name{Northern Spear Storm}<br>name{Flinss} summons a rain of spears ahead, dealing electro{Electro} AoE DMG and replacing Elemental Burst with Thunderous Symphony for the next 6s.</p>
talent_name;flinss_ancient_ritual;Древний ритуал: Наступает ночь;Ancient Ritual: Night Falls
talent_descr;flinss_ancient_ritual;name{Флинс} высвобождает истинную силу своего фонаря, наносит electro{Электро} урон по площади и через короткий промежуток времени наносит 2 промежуточных и 1 финальный этап electro{Электро} урона по площади, который считается уроном реакции electro{Лунный заряд}.<p>name{Лунное знамение - Высшее сияние:} навык получает усиление - если поблизости есть грозовые тучи, name{Флинс} наносит 2 дополнительных промежуточных этапа electro{Электро} урона по площади, который считается уроном реакции electro{Лунный заряд}.</p><p>name{Громогласная симфония}<br>Особый взрыв стихии расходует меньше энергии. name{Флинс} 1 раз наносит electro{Электро} урон по площади, который считается уроном реакции electro{Лунный заряд}.</p>;name{Flinss} releases the true power of his lantern, deals electro{Electro} AoE DMG and after a short interval deals 2 mid-stage and 1 final stage electro{Electro} AoE DMG that counts as electro{Lunar-Charged} reaction DMG.<p>name{Moonsign - Supreme Radiance:} skill is enhanced - if there are storm clouds nearby, name{Flinss} deals 2 additional mid-stage electro{Electro} AoE DMG that counts as electro{Lunar-Charged} reaction DMG.</p><p>name{Thunderous Symphony}<br>Special Elemental Burst consumes less Energy. name{Flinss} deals electro{Electro} AoE DMG once that counts as electro{Lunar-Charged} reaction DMG.</p>

talent_name;flinss_moon_blessing;Дар лунного знамения: Секреты старого мира;Moonsign Benediction: Old World Secrets
talent_descr;flinss_moon_blessing;Когда персонажи отряда активируют реакцию electro{Заряжен}, она превращается в electro{Лунный заряд}, а базовый урон реакции electro{Лунный заряд} увеличивается на %{text_percent} за каждые 100 ед. name{силы атаки} name{Флинса}. Максимальное увеличение урона составляет %{text_percent_max}. Кроме того, когда name{Флинс} в отряде, уровень Лунного знамения отряда повышается на 1.;When party members trigger electro{Electro-Charged}, it becomes electro{Lunar-Charged}, and the base DMG of electro{Lunar-Charged} increases by %{text_percent} for every 100 name{ATK} name{Flinss} has. Max bonus is %{text_percent_max}. Additionally, when name{Flinss} is in the party, the party's Moonsign level increases by 1.
talent_name;flinss_winter_symphony;Симфония зимы;Winter Symphony
talent_descr;flinss_winter_symphony;В зависимости от Лунного знамения отряда name{Флинс} получает соответствующие усиления.<p>name{Лунное знамение - Высшее сияние:} урон реакции electro{Лунный заряд} name{Флинса} увеличивается на 20%.</p>;Based on the party's Moonsign level, name{Flinss} receives corresponding buffs.<p>name{Moonsign - Supreme Radiance:} name{Flinss}'s electro{Lunar-Charged} reaction DMG increases by 20%.</p>
talent_name;flinss_whispering_flame;Шепчущее пламя;Whispering Flame
talent_descr;flinss_whispering_flame;Мастерство стихий name{Флинса} повышается на %{text_percent} от его силы атаки. Полученное таким образом увеличение может составлять до %{text_max} ед.;name{Flinss}'s Elemental Mastery increases by %{text_percent} of his ATK. Max increase is %{text_max}.
talent_name;flinss_light_in_darkness;Свет во тьме;Light in Darkness
talent_descr;flinss_light_in_darkness;Отмечает диковинки Нод-Края на мини-карте.;Marks Nod-Krai specialties on the mini-map.

talent_name;flinss_c1;Отстраняя снежную завесу;Parting the Snow Veil
