category;name;rus;eng
char_name;yagoda;Ягода;Yagoda

feature_attack;normal_hit_1;Урон атаки 1;1-Hit DMG
feature_attack;normal_hit_2;Урон атаки 2;2-Hit DMG
feature_attack;normal_hit_3;Урон атаки 3;3-Hit DMG
feature_attack;aimed;Прицельный выстрел;Aimed Shot
feature_attack;charged_aimed;Заряженный выстрел;Fully-Charged Aimed Shot
feature_attack;plunge;Урон в падении;Plunge DMG
feature_attack;plunge_low;Урон низкого/высокого удара;Low/High Plunge DMG
feature_skill;yagoda_smoke_bomb;Урон дымовой бомбы;Smoke Bomb DMG
feature_skill;yagoda_partial_flask;Урон неполной Секретной фляжки;Partial Secret Flask DMG
feature_skill;yagoda_full_flask;Урон полной Секретной фляжки;Full Secret Flask DMG
feature_skill;yagoda_catball;Урон котошарика;Catball DMG
feature_skill;yagoda_flask_duration;Длительность Секретной фляжки;Secret Flask Duration
feature_burst;yagoda_burst_dmg;Урон навыка;Skill DMG
feature_burst;yagoda_coordinator_dmg;Урон Персонального котординатора помощи;Personal Cat-ordinator DMG
feature_burst;yagoda_coordinator_heal;Лечение Персонального котординатора помощи;Personal Cat-ordinator Healing
feature_burst;yagoda_extra_heal;Дополнительное лечение персонажа с наименьшим HP;Extra Healing for Lowest HP Character
feature_burst;yagoda_coordinator_duration;Длительность Персонального котординатора помощи;Personal Cat-ordinator Duration

talent_name;yagoda_shoot_hot;Стреляй пока горячо;Shoot While Hot
talent_descr;yagoda_shoot_hot;Обычная атака: До трёх выстрелов из лука. Заряженная атака: Более меткий прицельный выстрел с увеличенным уроном. Во время прицеливания на наконечнике стрелы собирается могучий ветер. Полностью заряженная мощью ветра стрела наносит anemo{Анемо} урон. Атака в падении: Выпускает град стрел в воздухе и стремительно падает на землю, атакуя всех врагов на пути.;Normal Attack: Performs up to 3 consecutive shots with a bow. Charged Attack: Performs a more precise Aimed Shot with increased DMG. While aiming, mighty winds will accumulate on the arrowhead. A fully charged arrow deals anemo{Anemo} DMG. Plunging Attack: Fires off a shower of arrows in mid-air before falling and striking the ground.
talent_name;yagoda_cunning_plan;Хитроумный план: Раздел добычи;Cunning Plan: Loot Division
